Course,Semester,Q-score (1-5),Workload (>=0),Assignments (1-5),Title
CS 20,Spring,4.4,5,4.3,Discrete Mathematics for Computer Science
CS 50,Fall,3.6,12.6,3.6,Introduction to Computer Science I
CS 51,Spring,3.4,13.9,3.6,Introduction to Computer Science II
CS 61,Fall,4.2,14.1,4.4,Systems Programming and Machine Organization
CS 121,Fall,3.3,8.9,3.5,Introduction to the Theory of Computation
CS 124,Spring,3.9,15.2,3.8,Data Structures and Algorithms
CS 182,Fall,3.8,8.3,3.8,Artificial Intelligence
Math 21a,Fall,3.5,8,3.6,Multivariable Calculus
Math 21b,Spring,4.2,9.8,4.1,Linear Algebra and Differential Equations
Stat 110,Fall,4.3,10.4,4.3,Introduction to Probability
CS 181,Spring,3.6,16.8,3.6,Machine Learning
CS 161,Spring,4.8,33.6,4.9,Operating Systems
AM 106,Fall,4.4,6.3,3.9,Applied Algebra
CS 134,Fall,3.5,9.3,3.3,Networks
AM 120,Spring,4.3,6.9,4.2,Applied Linear Algebra and Big Data
AM 121,Fall,3.8,10.3,3.8,Introduction to Optimization: Models and Methods
ES 153,Both,4.1,8.9,4.1,Laboratory Electronics
ES 50,Fall,3.8,6.3,3.7,Introduction to Electrical Engineering
ES 52,Both,3.9,9.8,3.9,The Joy of Electronics
AM 106,Fall,4.4,6.3,3.9,Applied Algebra
AM 107,Spring,4.3,8.1,4.3,Graph Theory and Combinatorics
Math 154,Spring,4.5,10.1,4.1,Probability Theory
